TRAIN_CER VALID_CER
24.098 45.341
17.098 26.658
13.110 22.332
12.218 19.788
12.314 17.924
9.625 16.654
9.931 16.059
8.715 15.105
13.474 14.558
9.095 14.209
8.534 13.953
9.085 13.014
7.387 12.755
8.922 12.892
7.120 11.677
8.606 12.025
8.229 11.772
7.353 11.561
6.735 11.311
6.340 11.038
7.048 10.522
6.413 10.593
5.624 10.500
6.298 10.304
6.270 9.755
5.862 10.189
5.955 9.675
5.092 9.525
5.550 9.437
5.436 9.448
5.062 9.193
5.352 9.418
4.986 9.304
5.331 8.633
5.836 8.760
4.838 8.556
4.990 8.737
4.728 8.721
5.190 8.517
4.671 8.048
4.722 8.533
5.084 7.908
4.949 8.188
4.494 7.956
4.775 7.724
4.399 7.871
4.482 8.013
4.904 7.690
4.526 7.755
5.500 7.764
4.443 7.765
4.636 7.456
4.256 7.763
4.599 7.322
4.191 7.381
3.943 7.551
4.030 7.460
4.135 7.329
3.980 7.196
4.145 7.493
4.056 7.192
3.826 7.009
3.848 7.283
4.421 7.040
4.227 6.867
3.692 7.011
4.099 6.905
3.951 6.861
4.005 6.714
4.263 7.309
3.802 6.795
4.296 6.474
3.917 6.586
3.802 6.870
3.688 6.495
3.532 6.368
4.052 6.469
3.932 6.836
4.192 6.779
3.745 6.573
3.903 6.591
3.500 6.238
3.901 6.231
3.355 6.349
3.411 6.487
3.849 6.162
3.654 6.200
3.546 6.465
3.750 6.053
3.794 6.225
3.417 6.329
3.338 6.159
3.489 6.204
3.574 6.197
3.444 6.100
3.531 6.139
3.413 6.258
3.444 6.054
3.589 5.845
3.334 6.079
3.532 6.075
3.360 5.825
3.596 6.001
3.621 5.828
3.459 5.734
3.360 5.638
4.015 5.829
3.495 6.041
3.454 5.760
3.340 5.978
3.421 5.817
3.497 5.761
3.092 5.758
3.265 5.795
3.646 5.739
3.174 5.637
3.313 5.631
3.656 5.867
3.298 5.835
3.181 5.589
3.125 5.569
3.172 5.386
3.236 5.653
3.608 5.636
3.710 5.773
3.328 5.434
3.651 5.355
3.352 5.880
3.495 5.446
3.474 5.487
3.272 5.256
3.121 5.226
3.257 5.372
